x,result_minus_fin2ual_plus_offset
-1.757699594705293,-0.03553748359592325
-1.7574995947052954,-0.03568187938577397
-1.7572995947052945,-0.03582639988739848
-1.7570995947052948,-0.03597104429080916
-1.7568995947052952,-0.03611581178088488
-1.7566995947052948,-0.036260701537393566
-1.7564995947052944,-0.036405712735017665
-1.7562995947052955,-0.036550844543382935
-1.756099594705293,-0.03669609612709261
-1.7558995947052949,-0.036841466645742435
-1.7556995947052965,-0.03698695525396899
-1.7554995947052932,-0.03713256110147216
-1.755299594705294,-0.03727828333303662
-1.755099594705295,-0.037424121088584186
-1.754899594705295,-0.037570073503195064
-1.7546995947052957,-0.03771613970714273
-1.7544995947052957,-0.03786231882593276
-1.7542995947052935,-0.03800860998033699
-1.7540995947052946,-0.03815501228642447
-1.7538995947052969,-0.03830152485561035
-1.7536995947052934,-0.03844814679469173
-1.7534995947052952,-0.038594877205870265
-1.7532995947052954,-0.03874171518681897
-1.753099594705294,-0.03888865983070458
-1.752899594705296,-0.039035710226231174
-1.7526995947052957,-0.03918286545769413
-1.7524995947052937,-0.0393301246050113
-1.752299594705295,-0.03947748674376923
-1.7520995947052973,-0.03962495094527692
-1.7518995947052949,-0.03977251627660937
-1.7516995947052951,-0.039920181800642704
-1.7514995947052954,-0.04006794657611937
-1.7512995947052936,-0.04021580965768935
-1.7510995947052963,-0.04036377009595456
-1.7508995947052952,-0.04051182693753656
-1.750699594705293,-0.04065997922510994
-1.7504995947052957,-0.040808225997460784
-1.7502995947052966,-0.04095656628955194
-1.7500995947052935,-0.04110499913256559
-1.7498995947052949,-0.04125352355395408
-1.7496995947052951,-0.04140213857751526
-1.7494995947052931,-0.04155084322343615
-1.749299594705296,-0.04169963650834922
-1.7490995947052943,-0.04184851744541031
-1.7488995947052923,-0.041997485044336674
-1.748699594705296,-0.042146538311478146
-1.748499594705296,-0.042295676249891875
-1.748299594705293,-0.04244489785938767
-1.7480995947052955,-0.04259420213659461
-1.7478995947052942,-0.042743588075045164
-1.747699594705294,-0.042893054665218935
-1.7474995947052958,-0.04304260089462379
-1.7472995947052952,-0.04319222574786588
-1.7470995947052927,-0.04334192820671186
-1.746899594705296,-0.043491707250158454
-1.7466995947052957,-0.04364156185452284
-1.746499594705294,-0.04379149099349382
-1.7462995947052953,-0.043941493638213674
-1.7460995947052946,-0.044091568757362185
-1.7458995947052935,-0.044241715317220945
-1.7456995947052958,-0.044391932281754296
-1.7454995947052945,-0.044542218612697485
-1.7452995947052936,-0.044692573269620575
-1.745099594705295,-0.04484299521001879
-1.744899594705295,-0.044993483389397196
-1.744699594705293,-0.045144036761347386
-1.7444995947052957,-0.04529465427762855
-1.7442995947052944,-0.04544533488826999
-1.7440995947052935,-0.045596077541636
-1.7438995947052958,-0.045746881184525065
-1.743699594705294,-0.04589774476226445
-1.7434995947052945,-0.04604866721878295
-1.7432995947052965,-0.0461996474967173
-1.7430995947052947,-0.04635068453750274
-1.7428995947052932,-0.04650177728145595
-1.7426995947052957,-0.04665292466787711
-1.7424995947052937,-0.04680412563515454
-1.7422995947052933,-0.046955379120841925
-1.7420995947052955,-0.047106684061771
-1.741899594705294,-0.04725803939415299
-1.7416995947052945,-0.047409444053664346
-1.7414995947052956,-0.04756089697556326
-1.7412995947052945,-0.0477123970947886
-1.7410995947052943,-0.0478639433460582
-1.7408995947052956,-0.04801553466398116
-1.7406995947052937,-0.0481671699831666
-1.7404995947052946,-0.048318848238319306
-1.740299594705296,-0.048470568364363725
-1.7400995947052935,-0.048622329296549166
-1.7398995947052938,-0.04877412997055232
-1.7396995947052951,-0.04892596932260404
-1.7394995947052945,-0.04907784628959898
-1.7392995947052954,-0.04922975980920452
-1.7390995947052952,-0.049381708819987505
-1.7388995947052936,-0.049533692261525486
-1.7386995947052948,-0.0496857090745248
-1.7384995947052964,-0.04983775820094892
-1.7382995947052935,-0.04998983858413762
-1.7380995947052946,-0.05014194916891786
-1.737899594705296,-0.05029408890174769
-1.737699594705294,-0.05044625673083247
-1.737499594705296,-0.050598451606243544
-1.7372995947052958,-0.05075067248006533
-1.7370995947052938,-0.050902918306509476
-1.7368995947052952,-0.051055188042047006
-1.736699594705297,-0.051207480645550585
-1.7364995947052946,-0.05135979507842278
-1.7362995947052948,-0.051512130304721196
-1.736099594705295,-0.05166448529131017
-1.7358995947052938,-0.05181685900799063
-1.7356995947052962,-0.05196925042763399
-1.7354995947052951,-0.052121658526337475
-1.7352995947052934,-0.05227408228354792
-1.7350995947052952,-0.05242652068221139
-1.7348995947052963,-0.052578972708924726
-1.734699594705294,-0.052731437354073346
-1.7344995947052948,-0.05288391361197191
-1.734299594705295,-0.05303640048102777
-1.7340995947052928,-0.053188896963880766
-1.7338995947052958,-0.05334140206754846
-1.7336995947052949,-0.053493914803598
-1.7334995947052931,-0.0536464341882779
-1.7332995947052965,-0.05379895924267983
-1.7330995947052958,-0.053951488992908345
-1.7328995947052932,-0.054104022470218824
-1.7326995947052957,-0.05425655871118057
-1.7324995947052944,-0.054409096757853576
-1.7322995947052937,-0.05456163565792739
-1.732099594705295,-0.0547141744648971
-1.731899594705295,-0.054866712238228366
-1.7316995947052929,-0.05501924804351817
-1.7314995947052962,-0.05517178095265686
-1.7312995947052952,-0.05532431004401708
-1.7310995947052936,-0.05547683440259889
-1.7308995947052954,-0.05562935312021228
-1.730699594705295,-0.055781865295656305
-1.7304995947052937,-0.05593437003488093
-1.7302995947052957,-0.05608686645116512
-1.7300995947052948,-0.05623935366530396
-1.729899594705294,-0.056391830805771356
-1.729699594705295,-0.05654429700890744
-1.729499594705295,-0.0566967514191026
-1.729299594705293,-0.05684919318897326
-1.7290995947052956,-0.05700162147954249
-1.7288995947052943,-0.057154035460441524
-1.7286995947052934,-0.05730643431007462
-1.7284995947052957,-0.057458817215817734
-1.7282995947052946,-0.05761118337421359
-1.7280995947052946,-0.0577635319911462
-1.7278995947052964,-0.057915862282044095
