x,y
2.030720999999968690e-02,0.000000000000000000e+00
2.050720999999966487e-02,0.000000000000000000e+00
2.070721000000008694e-02,0.000000000000000000e+00
2.090721000000006491e-02,0.000000000000000000e+00
2.110721000000004288e-02,0.000000000000000000e+00
2.130721000000002086e-02,0.000000000000000000e+00
2.150720999999999883e-02,0.000000000000000000e+00
2.170720999999997680e-02,0.000000000000000000e+00
2.190720999999995477e-02,0.000000000000000000e+00
2.210720999999993275e-02,0.000000000000000000e+00
2.230720999999991072e-02,0.000000000000000000e+00
2.250721000000011074e-02,0.000000000000000000e+00
2.270721000000008871e-02,0.000000000000000000e+00
2.290721000000006669e-02,0.000000000000000000e+00
2.310720999999960057e-02,0.000000000000000000e+00
2.330720999999957854e-02,0.000000000000000000e+00
2.350721000000000060e-02,0.000000000000000000e+00
2.370720999999997858e-02,0.000000000000000000e+00
2.390720999999995655e-02,0.000000000000000000e+00
2.410720999999993452e-02,0.000000000000000000e+00
2.430720999999991250e-02,0.000000000000000000e+00
2.450720999999989047e-02,0.000000000000000000e+00
2.470721000000009049e-02,0.000000000000000000e+00
2.490721000000006846e-02,0.000000000000000000e+00
2.510721000000004643e-02,0.000000000000000000e+00
2.530721000000002441e-02,0.000000000000000000e+00
2.550721000000000238e-02,0.000000000000000000e+00
2.570720999999998035e-02,0.000000000000000000e+00
2.590720999999995833e-02,0.000000000000000000e+00
2.610720999999949221e-02,0.000000000000000000e+00
2.630720999999969223e-02,0.000000000000000000e+00
2.650720999999922611e-02,0.000000000000000000e+00
2.670721000000009226e-02,0.000000000000000000e+00
2.690720999999962615e-02,0.000000000000000000e+00
2.710721000000004821e-02,0.000000000000000000e+00
2.730721000000002618e-02,0.000000000000000000e+00
2.750721000000000416e-02,0.000000000000000000e+00
2.770720999999998213e-02,0.000000000000000000e+00
2.790720999999996010e-02,0.000000000000000000e+00
2.810720999999993808e-02,0.000000000000000000e+00
2.830720999999991605e-02,0.000000000000000000e+00
2.850720999999989402e-02,0.000000000000000000e+00
2.870721000000009404e-02,0.000000000000000000e+00
