,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
21,-1.9957958,-1.9956494,-1.9957133,-1.9957423,-1.9957449,-1.9956215,-1.9957334,-1.9957691,-1.9956363,-1.9957556,-1.9957172,-1.9956678,-1.9957424,-1.9957128,-1.9956269,-1.9957041,-1.9956209,-1.9957084,-1.9956555,-1.9956094,-1.9957938,-1.9957808,-1.9956915,-1.9957528,-1.9957118,-1.9957663,-1.9956631,-1.9956588,-1.9957377,-1.9956205
22,-1.9955958,-1.9954494,-1.9955133,-1.9955423,-1.9955449,-1.9954215,-1.9955334,-1.9955691,-1.9954363,-1.9955556,-1.9955172,-1.9954678,-1.9955424,-1.9955128,-1.9954269,-1.9955041,-1.9954209,-1.9955084,-1.9954555,-1.9954094,-1.9955938,-1.9955808,-1.9954915,-1.9955528,-1.9955118,-1.9955663,-1.9954631,-1.9954588,-1.9955377,-1.9954205
23,-1.9953958,-1.9952494,-1.9953133,-1.9953423,-1.9953449,-1.9952215,-1.9953334,-1.9953691,-1.9952363,-1.9953556,-1.9953172,-1.9952678,-1.9953424,-1.9953128,-1.9952269,-1.9953041,-1.9952209,-1.9953084,-1.9952555,-1.9952094,-1.9953938,-1.9953808,-1.9952915,-1.9953528,-1.9953118,-1.9953663,-1.9952631,-1.9952588,-1.9953377,-1.9952205
24,-1.9951958,-1.9950494,-1.9951133,-1.9951423,-1.9951449,-1.9950215,-1.9951334,-1.9951691,-1.9950363,-1.9951556,-1.9951172,-1.9950678,-1.9951424,-1.9951128,-1.9950269,-1.9951041,-1.9950209,-1.9951084,-1.9950555,-1.9950094,-1.9951938,-1.9951808,-1.9950915,-1.9951528,-1.9951118,-1.9951663,-1.9950631,-1.9950588,-1.9951377,-1.9950205
25,-1.9949958,-1.9948494,-1.9949133,-1.9949423,-1.9949449,-1.9948215,-1.9949334,-1.9949691,-1.9948363,-1.9949556,-1.9949172,-1.9948678,-1.9949424,-1.9949128,-1.9948269,-1.9949041,-1.9948209,-1.9949084,-1.9948555,-1.9948094,-1.9949938,-1.9949808,-1.9948915,-1.9949528,-1.9949118,-1.9949663,-1.9948631,-1.9948588,-1.9949377,-1.9948205
26,-1.9947958,-1.9946494,-1.9947133,-1.9947423,-1.9947449,-1.9946215,-1.9947334,-1.9947691,-1.9946363,-1.9947556,-1.9947172,-1.9946678,-1.9947424,-1.9947128,-1.9946269,-1.9947041,-1.9946209,-1.9947084,-1.9946555,-1.9946094,-1.9947938,-1.9947808,-1.9946915,-1.9947528,-1.9947118,-1.9947663,-1.9946631,-1.9946588,-1.9947377,-1.9946205
27,-1.9945958,-1.9944494,-1.9945133,-1.9945423,-1.9945449,-1.9944215,-1.9945334,-1.9945691,-1.9944363,-1.9945556,-1.9945172,-1.9944678,-1.9945424,-1.9945128,-1.9944269,-1.9945041,-1.9944209,-1.9945084,-1.9944555,-1.9944094,-1.9945938,-1.9945808,-1.9944915,-1.9945528,-1.9945118,-1.9945663,-1.9944631,-1.9944588,-1.9945377,-1.9944205
28,-1.9943958,-1.9942494,-1.9943133,-1.9943423,-1.9943449,-1.9942215,-1.9943334,-1.9943691,-1.9942363,-1.9943556,-1.9943172,-1.9942678,-1.9943424,-1.9943128,-1.9942269,-1.9943041,-1.9942209,-1.9943084,-1.9942555,-1.9942094,-1.9943938,-1.9943808,-1.9942915,-1.9943528,-1.9943118,-1.9943663,-1.9942631,-1.9942588,-1.9943377,-1.9942205
29,-1.9941958,-1.9940494,-1.9941133,-1.9941423,-1.9941449,-1.9940215,-1.9941334,-1.9941691,-1.9940363,-1.9941556,-1.9941172,-1.9940678,-1.9941424,-1.9941128,-1.9940269,-1.9941041,-1.9940209,-1.9941084,-1.9940555,-1.9940094,-1.9941938,-1.9941808,-1.9940915,-1.9941528,-1.9941118,-1.9941663,-1.9940631,-1.9940588,-1.9941377,-1.9940205
30,-1.9939958,-1.9938494,-1.9939133,-1.9939423,-1.9939449,-1.9938215,-1.9939334,-1.9939691,-1.9938363,-1.9939556,-1.9939172,-1.9938678,-1.9939424,-1.9939128,-1.9938269,-1.9939041,-1.9938209,-1.9939084,-1.9938555,-1.9938094,-1.9939938,-1.9939808,-1.9938915,-1.9939528,-1.9939118,-1.9939663,-1.9938631,-1.9938588,-1.9939377,-1.9938205
