x,y
4.849896333333392207e-02,0.000000000000000000e+00
4.869896333333323390e-02,0.000000000000000000e+00
4.889896333333521028e-02,0.000000000000000000e+00
4.909896333333407803e-02,0.000000000000000000e+00
4.929896333333316782e-02,0.000000000000000000e+00
4.949896333333292375e-02,0.000000000000000000e+00
4.969896333333290173e-02,0.000000000000000000e+00
4.989896333333354583e-02,0.000000000000000000e+00
5.009896333333285767e-02,0.000000000000000000e+00
5.029896333333438996e-02,0.000000000000000000e+00
5.049896333333192544e-02,0.000000000000000000e+00
5.069896333333478999e-02,0.000000000000000000e+00
5.089896333333365774e-02,0.000000000000000000e+00
5.109896333333363572e-02,0.000000000000000000e+00
5.129896333333205938e-02,0.000000000000000000e+00
5.149896333333314757e-02,0.000000000000000000e+00
5.169896333333401373e-02,0.000000000000000000e+00
5.189896333333354761e-02,0.000000000000000000e+00
5.209896333333441376e-02,0.000000000000000000e+00
5.229896333333194924e-02,0.000000000000000000e+00
5.249896333333525789e-02,0.000000000000000000e+00
5.269896333333279337e-02,0.000000000000000000e+00
5.289896333333210521e-02,0.000000000000000000e+00
5.309896333333363749e-02,0.000000000000000000e+00
5.329896333333250524e-02,0.000000000000000000e+00
5.349896333333359344e-02,0.000000000000000000e+00
5.369896333333312732e-02,0.000000000000000000e+00
5.389896333333488165e-02,0.000000000000000000e+00
5.409896333333308327e-02,0.000000000000000000e+00
5.429896333333483760e-02,0.000000000000000000e+00
5.449896333333237308e-02,0.000000000000000000e+00
5.469896333333190697e-02,0.000000000000000000e+00
5.489896333333410539e-02,0.000000000000000000e+00
5.509896333333275109e-02,0.000000000000000000e+00
5.529896333333361724e-02,0.000000000000000000e+00
5.549896333333292908e-02,0.000000000000000000e+00
5.569896333333446137e-02,0.000000000000000000e+00
5.589896333333310707e-02,0.000000000000000000e+00
5.609896333333352914e-02,0.000000000000000000e+00
5.629896333333195280e-02,0.000000000000000000e+00
5.649896333333304099e-02,0.000000000000000000e+00
5.669896333333368510e-02,0.000000000000000000e+00
5.689896333333210876e-02,0.000000000000000000e+00
5.709896333333475127e-02,0.000000000000000000e+00
5.729896333333317493e-02,0.000000000000000000e+00
5.749896333333470722e-02,0.000000000000000000e+00
5.769896333333313088e-02,0.000000000000000000e+00
5.789896333333288680e-02,0.000000000000000000e+00
5.809896333333153251e-02,0.000000000000000000e+00
5.829896333333195457e-02,0.000000000000000000e+00
5.849896333333437504e-02,0.000000000000000000e+00
5.869896333333302074e-02,0.000000000000000000e+00
5.889896333333433098e-02,0.000000000000000000e+00
5.909896333333208851e-02,0.000000000000000000e+00
5.929896333333517511e-02,0.000000000000000000e+00
5.949896333333359877e-02,0.000000000000000000e+00
5.969896333333246652e-02,0.000000000000000000e+00
5.989896333333311063e-02,0.000000000000000000e+00
6.009896333333197838e-02,0.000000000000000000e+00
6.029896333333306657e-02,0.000000000000000000e+00
6.049896333333371068e-02,0.000000000000000000e+00
6.069896333333524296e-02,0.000000000000000000e+00
6.089896333333277845e-02,0.000000000000000000e+00
6.109896333333475482e-02,0.000000000000000000e+00
6.129896333333206826e-02,0.000000000000000000e+00
6.149896333333204623e-02,0.000000000000000000e+00
6.169896333333402261e-02,0.000000000000000000e+00
6.189896333333311240e-02,0.000000000000000000e+00
6.209896333333309038e-02,0.000000000000000000e+00
6.229896333333351244e-02,0.000000000000000000e+00
6.249896333333349041e-02,0.000000000000000000e+00
6.269896333333369043e-02,0.000000000000000000e+00
6.289896333333366840e-02,0.000000000000000000e+00
6.309896333333209206e-02,0.000000000000000000e+00
6.329896333333207004e-02,0.000000000000000000e+00
6.349896333333315823e-02,0.000000000000000000e+00
6.369896333333247007e-02,0.000000000000000000e+00
6.389896333333400236e-02,0.000000000000000000e+00
6.409896333333309215e-02,0.000000000000000000e+00
6.429896333333484648e-02,0.000000000000000000e+00
6.449896333333349219e-02,0.000000000000000000e+00
6.469896333333369220e-02,0.000000000000000000e+00
6.489896333333233791e-02,0.000000000000000000e+00
6.509896333333275997e-02,0.000000000000000000e+00
6.529896333333362612e-02,0.000000000000000000e+00
6.549896333333293796e-02,0.000000000000000000e+00
6.569896333333469229e-02,0.000000000000000000e+00
6.589896333333311595e-02,0.000000000000000000e+00
6.609896333333487028e-02,0.000000000000000000e+00
6.629896333333351599e-02,0.000000000000000000e+00
6.649896333333304987e-02,0.000000000000000000e+00
6.669896333333191762e-02,0.000000000000000000e+00
6.689896333333278378e-02,0.000000000000000000e+00
6.709896333333520424e-02,0.000000000000000000e+00
6.729896333333318381e-02,0.000000000000000000e+00
